"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-10-31,"94605","CA","San Francisco-Oakland-Hayward","Alameda County","Oakland",1513,2756.4,-0.0031,0.0016,-0.0042,14246
2019-10-31,"53211","WI","Milwaukee-Waukesha-West Allis","Milwaukee County","Shorewood",1514,1264.27,-0.0209,-0.0396,-0.055,4845
2019-10-31,"39564","MS","Gulfport-Biloxi-Pascagoula","Jackson County","Ocean Springs",1515,1180.92,0.0016,0.0033,0.0155,15909
2019-10-31,"44134","OH","Cleveland-Elyria","Cuyahoga County","Parma",1516,982.46,-0.0055,-0.0036,0.0101,16035
2019-10-31,"30813","GA","Augusta-Richmond County","Columbia County","Grovetown",1517,1193.38,0.0166,0.0311,-0.0111,19611
2019-10-31,"44120","OH","Cleveland-Elyria","Cuyahoga County","Cleveland",1518,975.16,0.0155,0.0282,-0.0113,12932
2019-10-31,"92545","CA","Riverside-San Bernardino-Ontario","Riverside County","Hemet",1519,1563.2,0.0025,0.0176,0.0281,13036
2019-10-31,"92504","CA","Riverside-San Bernardino-Ontario","Riverside County","Riverside",1520,2058.46,0.0034,0.0113,0.0864,13750
2019-10-31,"85208","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Mesa",1521,1394.23,0.0129,0.0307,0.0534,11152
2019-10-31,"93010","CA","Oxnard-Thousand Oaks-Ventura","Ventura County","Camarillo",1522,2729.84,0.0091,0.0235,0.0271,14516
2019-10-31,"32073","FL","Jacksonville","Clay County","Orange Park",1523,1359.93,0.0171,0.0276,0.0324,14995
2019-10-31,"46383","IN","Chicago-Naperville-Elgin","Porter County","Valparaiso",1524,1287.89,0.0082,0.0377,0.0003,13814
2019-10-31,"35401","AL","Tuscaloosa","Tuscaloosa County","Tuscaloosa",1525,1149.97,0.0406,0.0155,0.0401,9458
2019-10-31,"01801","MA","Boston-Cambridge-Newton","Middlesex County","Woburn",1526,2336.07,-0.0236,-0.0132,-0.0129,14163
2019-10-31,"53207","WI","Milwaukee-Waukesha-West Allis","Milwaukee County","Milwaukee",1527,1178.54,0.0028,0.0196,0.0189,12603
2019-10-31,"95037","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County","Morgan Hill",1528,3013.95,-0.0079,-0.0074,-0.0218,14561
2019-10-31,"85021","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",1529,1453.91,0.0187,0.0374,0.0572,9904
2019-10-31,"08817","NJ","New York-Newark-Jersey City","Middlesex County","Edison",1530,1754.11,-0.001,-0.0004,-0.0014,12041
2019-10-31,"90703","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Cerritos",1531,2648.61,0.0062,0.0125,0.0075,16520
2019-10-31,"23228","VA","Richmond","Henrico County","Henrico",1532,1291.05,0.0048,0.0103,0.0035,15148
2019-10-31,"49504","MI","Grand Rapids-Wyoming","Kent County","Grand Rapids",1533,1279.71,0.0168,0.0044,-0.0063,14285
2019-10-31,"49442","MI","Muskegon","Muskegon County","Muskegon",1534,806.27,0.0337,0.0426,0.0186,9488
2019-10-31,"75165","TX","Dallas-Fort Worth-Arlington","Ellis County","Waxahachie",1535,1420.34,-0.004,0.01,-0.0345,14770
2019-10-31,"60505","IL","Chicago-Naperville-Elgin","Kane County","Aurora",1536,1300.77,0.005,0.0033,-0.0172,14316
2019-10-31,"17543","PA","Lancaster","Lancaster County","Warwick Township",1537,1256.39,0.0172,0.0286,0.0388,15885
2019-10-31,"19121","PA","Philadelphia-Camden-Wilmington","Philadelphia County","Philadelphia",1538,1388.21,-0.0103,-0.0018,0.0175,13904
2019-10-31,"90057","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",1539,2499.24,-0.0023,0.0074,0.0285,1580
2019-10-31,"10459","NY","New York-Newark-Jersey City","Bronx County","New York",1540,1822.26,-0.002,-0.0105,0.0226,2941
2019-10-31,"44109","OH","Cleveland-Elyria","Cuyahoga County","Cleveland",1541,793.32,0.0088,0.0036,-0.0046,13689
2019-10-31,"97030","OR","Portland-Vancouver-Hillsboro","Multnomah County","Gresham",1542,1527.05,0.0336,0.0485,0.0318,10418
2019-10-31,"02127","MA","Boston-Cambridge-Newton","Suffolk County","Boston",1543,3051.4,-0.0153,-0.0089,0.0562,17780
2019-10-31,"32712","FL","Orlando-Kissimmee-Sanford","Orange County","Apopka",1544,1457.82,0.0103,0.0213,0.0184,17739
2019-10-31,"30120","GA","Atlanta-Sandy Springs-Roswell","Bartow County","Cartersville",1545,1164.71,0.019,0.0489,0.0207,15066
2019-10-31,"34119","FL","Naples-Immokalee-Marco Island","Collier County","Naples",1546,3229.91,0.0595,0.018,0.2053,19998
2019-10-31,"24401","VA","Staunton-Waynesboro","Staunton City","Staunton",1547,1187.41,0.0148,0.0206,0.0558,12431
2019-10-31,"97219","OR","Portland-Vancouver-Hillsboro","Multnomah County","Portland",1548,1726.35,0.0107,0.0224,0.0249,17031
2019-10-31,"33417","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County","Century Village",1549,1450.78,0.0044,0.0092,0.0076,17416
2019-10-31,"54701","WI","Eau Claire","Eau Claire County","Eau Claire",1550,1030.31,0.0118,-0.0192,-0.0296,8960
2019-10-31,"10001","NY","New York-Newark-Jersey City","New York County","New York",1551,3645.64,-0.0182,-0.0041,0.015,9798
2019-10-31,"32526","FL","Pensacola-Ferry Pass-Brent","Escambia County","Pensacola",1552,1034.39,0.0072,0.036,0.0543,15100
2019-10-31,"84770","UT","St. George","Washington County","Saint George",1553,1495.28,0.022,0.0246,0.0031,18812
2019-10-31,"98092","WA","Seattle-Tacoma-Bellevue","King County","Auburn",1554,1880.49,-0.0069,-0.004,-0.0039,14677
2019-10-31,"72758","AR","Fayetteville-Springdale-Rogers","Benton County","Rogers",1555,1129.25,-0.0254,-0.0185,-0.0225,11624
2019-10-31,"77004","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",1556,1619.4,0.0109,0.0151,0.0015,12176
2019-10-31,"34231","FL","North Port-Sarasota-Bradenton","Sarasota County","Sarasota",1557,1763.36,0.0065,0.002,0.0183,17263
2019-10-31,"33177","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County","South Miami Heights",1558,1823.29,-0.0016,0.0059,0.0042,18242
2019-10-31,"94066","CA","San Francisco-Oakland-Hayward","San Mateo County","San Bruno",1559,3349.31,0.0039,0.0064,0.0457,13733
2019-10-31,"41017","KY","Cincinnati","Kenton County","Edgewood",1560,1205.1,-0.0216,-0.0116,0.0771,10529
2019-10-31,"29577","SC","Myrtle Beach-Conway-North Myrtle Beach","Horry County","Myrtle Beach",1561,1267.6,0.0207,0.0338,0.0136,29060
2019-10-31,"33134","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County","Coral Gables",1562,2311.21,0.0086,0.0102,-0.0067,18246
2019-10-31,"84074","UT","Salt Lake City","Tooele County","Tooele",1563,1292.63,0.009,-0.0096,0.014,5166
2019-10-31,"60462","IL","Chicago-Naperville-Elgin","Cook County","Orland Park",1564,1692.9,0.0189,0.0207,-0.0062,17201
2019-10-31,"21804","MD","Salisbury","Wicomico County","Salisbury",1565,1191.38,0.0168,0.0216,0.0216,12934
2019-10-31,"80022","CO","Denver-Aurora-Lakewood","Adams County","Commerce City",1566,1662.81,0.006,0.0002,0.0118,15761
2019-10-31,"40291","KY","Louisville/Jefferson County","Jefferson County","Louisville",1567,1131.02,-0.0034,0.0132,-0.012,13424
2019-10-31,"77064","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",1568,1300.41,0.0003,0.0117,0.0108,13323
2019-10-31,"17050","PA","Harrisburg-Carlisle","Cumberland County","Hampden Township",1569,1398.17,-0.0203,-0.0269,0.002,15989
2019-10-31,"92009","CA","San Diego-Carlsbad","San Diego County","Carlsbad",1570,3011.11,0.0162,0.0306,0.0321,16839
2019-10-31,"48188","MI","Detroit-Warren-Dearborn","Wayne County","Canton",1571,1316.29,-0.0264,-0.0001,-0.0262,15320
2019-10-31,"95376","CA","Stockton-Lodi","San Joaquin County","Tracy",1572,1937.68,0.0084,0.0152,0.0001,14864
2019-10-31,"79423","TX","Lubbock","Lubbock County","Lubbock",1573,1102.78,0.0019,-0.0046,-0.0241,14481
2019-10-31,"78227","TX","San Antonio-New Braunfels","Bexar County","San Antonio",1574,1037.11,0.0028,0.008,-0.0103,11684
2019-10-31,"85202","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Mesa",1575,1365.74,0.0114,0.0307,0.0507,12786
2019-10-31,"46410","IN","Chicago-Naperville-Elgin","Lake County","Merrillville",1576,1090.5,-0.0135,-0.022,-0.0468,12401
2019-10-31,"84119","UT","Salt Lake City","Salt Lake County","West Valley City",1577,1369.95,0.0066,0.02,0.0525,13006
2019-10-31,"92672","CA","Los Angeles-Long Beach-Anaheim","Orange County","San Clemente",1578,3038.83,-0.0015,-0.0013,0.0181,14816
2019-10-31,"78744","TX","Austin-Round Rock","Travis County","Austin",1579,1484.1,-0.0006,0.0114,0.0392,11772
2019-10-31,"85712","AZ","Tucson","Pima County","Tucson",1580,1196.24,0.0056,0.0134,0.0435,10525
2019-10-31,"55117","MN","Minneapolis-St. Paul-Bloomington","Ramsey County","Saint Paul",1581,1293.57,-0.0039,-0.0111,0.0187,11639
2019-10-31,"91745","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Hacienda Heights",1582,2440.12,0.0096,0.0164,0.023,16188
2019-10-31,"21701","MD","Washington-Arlington-Alexandria","Frederick County","Frederick",1583,1661.3,0.0143,0.0142,0.0179,14601
2019-10-31,"30039","GA","Atlanta-Sandy Springs-Roswell","Gwinnett County","Snellville",1584,1383.92,-0.0086,-0.0088,-0.0269,18720
2019-10-31,"85296","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Gilbert",1585,1592.8,0.0152,0.0195,0.0414,17493
2019-10-31,"94601","CA","San Francisco-Oakland-Hayward","Alameda County","Oakland",1586,2726,0.0139,0.0248,0.0147,8887
2019-10-31,"60645","IL","Chicago-Naperville-Elgin","Cook County","Chicago",1587,1573.24,-0.0081,-0.0036,0.0002,12231
2019-10-31,"92054","CA","San Diego-Carlsbad","San Diego County","Oceanside",1588,2686.54,0.0105,0.0195,0.0673,11761
2019-10-31,"60654","IL","Chicago-Naperville-Elgin","Cook County","Chicago",1589,2267.86,0.0159,0.0395,0.0117,22306
2019-10-31,"30680","GA","Atlanta-Sandy Springs-Roswell","Barrow County","Winder",1590,1250.25,-0.0015,0.0044,0.0268,16753
2019-10-31,"33196","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County","The Hammocks",1591,1710.22,-0.011,-0.0114,-0.0267,21702
2019-10-31,"20747","MD","Washington-Arlington-Alexandria","Prince Georges County","District Heights",1592,1603.98,0.007,0.0076,0.0058,11675
2019-10-31,"33461","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County","Palm Springs",1593,1477.61,0.0012,0.008,0.0011,14605
2019-10-31,"08234","NJ","Atlantic City-Hammonton","Atlantic County","Egg Harbor Township",1594,1300.35,0.0206,0.0149,0.0152,15949
2019-10-31,"19701","DE","Philadelphia-Camden-Wilmington","New Castle County","Bear",1595,1463.05,0.025,0.0345,0.0932,13352
2019-10-31,"46901","IN","Kokomo","Howard County","Kokomo",1596,777.4,0.035,0.0351,0.03,14613
2019-10-31,"06790","CT","Torrington","Litchfield County","Torrington",1597,1081.57,-0.0184,-0.007,0.0048,27063
2019-10-31,"94610","CA","San Francisco-Oakland-Hayward","Alameda County","Oakland",1598,3123.73,-0.0066,0.0021,0.026,8135
2019-10-31,"01902","MA","Boston-Cambridge-Newton","Essex County","Lynn",1599,1916.9,0.007,0.0089,0.066,8880
2019-10-31,"60067","IL","Chicago-Naperville-Elgin","Cook County","Palatine",1600,1645.96,-0.0145,-0.0075,-0.0127,17599
2019-10-31,"19130","PA","Philadelphia-Camden-Wilmington","Philadelphia County","Philadelphia",1601,1770.45,-0.0065,0.0038,0,14189
2019-10-31,"50266","IA","Des Moines-West Des Moines","Polk County","West Des Moines",1602,1296.04,0.0027,-0.003,-0.0043,13486
2019-10-31,"46902","IN","Kokomo","Howard County","Kokomo",1603,784.97,0.0286,0.0354,0.0262,13696
2019-10-31,"93117","CA","Santa Maria-Santa Barbara","Santa Barbara County","Goleta",1604,3596.92,0.0041,0.0199,0.0304,8945
2019-10-31,"37174","TN","Nashville-Davidson--Murfreesboro--Franklin","Maury County","Spring Hill",1605,1302.8,-0.0617,-0.044,-0.0657,17455
2019-10-31,"19808","DE","Philadelphia-Camden-Wilmington","New Castle County","Wilmington",1606,1327.48,0.0178,0.0224,0.0036,14494
2019-10-31,"94025","CA","San Francisco-Oakland-Hayward","San Mateo County","Menlo Park",1607,4284.28,-0.0118,0.0006,-0.0232,12897
2019-10-31,"19709","DE","Philadelphia-Camden-Wilmington","New Castle County","Middletown",1608,1315.85,0.0292,0.0262,-0.0508,15959
2019-10-31,"89509","NV","Reno","Washoe County","Reno",1609,1709.94,0.0228,0.0387,0.0335,13575
2019-10-31,"24153","VA","Roanoke","Salem City","Salem",1610,991.99,0.017,0.0273,-0.0236,13949
2019-10-31,"76107","TX","Dallas-Fort Worth-Arlington","Tarrant County","Fort Worth",1611,1477.85,-0.0058,-0.0035,0.046,15079
2019-10-31,"77080","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",1612,1408.56,0.008,0.0088,0.0265,9908
2019-10-31,"15235","PA","Pittsburgh","Allegheny County","Penn Hills",1613,999.24,0.0154,0.0267,0.0172,15141
2019-10-31,"92688","CA","Los Angeles-Long Beach-Anaheim","Orange County","Rancho Santa Margarita",1614,2689.29,0.0029,0.0051,0.0108,15621
2019-10-31,"72756","AR","Fayetteville-Springdale-Rogers","Benton County","Rogers",1615,1111.41,0.0061,0.0103,0.0089,6428
2019-10-31,"18042","PA","Allentown-Bethlehem-Easton","Northampton County","Easton",1616,1278.94,0.0122,0.0196,0.0144,14169
2019-10-31,"02149","MA","Boston-Cambridge-Newton","Middlesex County","Everett",1617,2403.36,-0.0063,0.0168,0.0133,9554
2019-10-31,"11561","NY","New York-Newark-Jersey City","Nassau County","Long Beach",1618,2754.78,-0.0145,-0.0218,0.0117,15719
2019-10-31,"79762","TX","Odessa","Ector County","Odessa",1619,1828.89,-0.0621,-0.0891,-0.0377,11791
2019-10-31,"28054","NC","Charlotte-Concord-Gastonia","Gaston County","Gastonia",1620,1077.82,0.0106,0.0229,0.0174,12246
2019-10-31,"27127","NC","Winston-Salem","Forsyth County","Winston-Salem",1621,1007.66,0.0188,0.0399,0.0829,15176
2019-10-31,"27320","NC","Greensboro-High Point","Rockingham County","Reidsville",1622,692.71,0.0115,0.0177,-0.0074,13104
2019-10-31,"78207","TX","San Antonio-New Braunfels","Bexar County","San Antonio",1623,990.59,-0.0176,-0.0429,0.0159,12598
2019-10-31,"33917","FL","Cape Coral-Fort Myers","Lee County","North Fort Myers",1624,1409.78,0.0169,0.0133,-0.0253,9968
2019-10-31,"32507","FL","Pensacola-Ferry Pass-Brent","Escambia County","Pensacola",1625,1411.38,0.0351,0.0602,0.0969,17324
2019-10-31,"33484","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County","Delray Beach",1626,1752.77,0.0347,0.0473,0.0396,19294
2019-10-31,"90660","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Pico Rivera",1627,2367.96,0.0129,0.0195,-0.0029,14349
2019-10-31,"53214","WI","Milwaukee-Waukesha-West Allis","Milwaukee County","West Allis",1628,947.52,0.0282,0.0216,0.0552,2994
2019-10-31,"14701","NY","Jamestown-Dunkirk-Fredonia","Chautauqua County","Jamestown",1629,745.21,0.0149,0.0114,0.0355,14237
2019-10-31,"85249","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Chandler",1630,1616.54,0.0132,0.0309,0.0046,17905
2019-10-31,"31909","GA","Columbus","Muscogee County","Columbus",1631,909.92,0.0226,0.0393,0.0265,11319
2019-10-31,"72703","AR","Fayetteville-Springdale-Rogers","Washington County","Fayetteville",1632,1075.62,0.0058,0.0101,0.0015,10977
2019-10-31,"27909","NC","Elizabeth City","Pasquotank County","Elizabeth City",1633,955.4,0.03,0.0279,0.0543,16504
2019-10-31,"72076","AR","Little Rock-North Little Rock-Conway","Pulaski County","Jacksonville",1634,688.01,0.0063,-0.0017,-0.0215,11857
2019-10-31,"55379","MN","Minneapolis-St. Paul-Bloomington","Scott County","Shakopee",1635,1641.77,-0.0032,-0.017,0.0632,14880
2019-10-31,"55304","MN","Minneapolis-St. Paul-Bloomington","Anoka County","Andover",1636,1672.52,0.009,0.0191,-0.0072,17397
2019-10-31,"28212","NC","Charlotte-Concord-Gastonia","Mecklenburg County","Charlotte",1637,1240.79,0.0143,0.0279,0.03,9399
2019-10-31,"12603","NY","New York-Newark-Jersey City","Dutchess County","Town of Poughkeepsie",1638,1679.72,-0.004,-0.0029,0.0042,15801
2019-10-31,"30115","GA","Atlanta-Sandy Springs-Roswell","Cherokee County","Canton",1639,1457.9,0.0137,0.0222,-0.0093,18456
2019-10-31,"32955","FL","Palm Bay-Melbourne-Titusville","Brevard County","Rockledge",1640,1445.58,0.0033,0.0012,0.0212,17248
2019-10-31,"63368","MO","St. Louis","Saint Charles County","O Fallon",1641,1399.78,0.0064,0.0189,-0.0537,14996
2019-10-31,"60651","IL","Chicago-Naperville-Elgin","Cook County","Chicago",1642,1370.56,-0.024,-0.0206,-0.0117,8333
2019-10-31,"70808","LA","Baton Rouge","East Baton Rouge Parish","Baton Rouge",1643,1235.63,0.009,0.0026,-0.012,4618
2019-10-31,"07726","NJ","New York-Newark-Jersey City","Monmouth County","Manalapan Township",1644,2011.43,-0.0026,0.0072,-0.0028,16987
2019-10-31,"78526","TX","Brownsville-Harlingen","Cameron County","Brownsville",1645,912.02,0.0003,0.0012,0.0206,14782
2019-10-31,"44122","OH","Cleveland-Elyria","Cuyahoga County","Shaker Heights",1646,1217.18,0.0065,0.0202,0.0226,13245
2019-10-31,"60193","IL","Chicago-Naperville-Elgin","Cook County","Schaumburg",1647,1578.41,0.0072,0.0062,0.0197,16828
2019-10-31,"45385","OH","Dayton","Greene County","Xenia",1648,1299.78,0.0344,0.0687,0.1799,14128
2019-10-31,"33410","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County","Palm Beach Gardens",1649,1822.51,0.0082,0.0104,0.01,16380
2019-10-31,"79707","TX","Midland","Midland County","Midland",1650,1917.05,-0.0411,-0.0442,-0.0502,11474
2019-10-31,"46037","IN","Indianapolis-Carmel-Anderson","Hamilton County","Fishers",1651,1518.84,-0.0004,0.0027,0.0178,16300
2019-10-31,"21236","MD","Baltimore-Columbia-Towson","Baltimore County","Nottingham",1652,1502.38,0.0007,-0.0027,-0.0014,13143
2019-10-31,"34207","FL","North Port-Sarasota-Bradenton","Manatee County","Bradenton",1653,1330.54,0.0165,0.0093,0.0274,11290
2019-10-31,"92833","CA","Los Angeles-Long Beach-Anaheim","Orange County","Fullerton",1654,2560.28,0,0.0084,0.0202,14054
2019-10-31,"92064","CA","San Diego-Carlsbad","San Diego County","Poway",1655,2552.25,-0.0016,0.0095,0.0226,14231
2019-10-31,"27030","NC","Mount Airy","Surry County","Mount Airy",1656,1116.2,0.0148,0.0279,0.0481,12266
2019-10-31,"33032","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County","Princeton",1657,1720.11,0.0106,0.0212,0.0183,17634
2019-10-31,"63385","MO","St. Louis","Saint Charles County","Wentzville",1658,1454.57,0.013,0.0192,-0.0012,15607
2019-10-31,"43017","OH","Columbus","Franklin County","Dublin",1659,1663.67,-0.0207,-0.0366,-0.0169,13454
2019-10-31,"76522","TX","Killeen-Temple","Coryell County","Copperas Cove",1660,869.7,0.009,0.0335,0.0583,14542
2019-10-31,"78006","TX","San Antonio-New Braunfels","Kendall County","Boerne",1661,1740.37,0.028,0.0481,0.074,13387
2019-10-31,"28115","NC","Charlotte-Concord-Gastonia","Iredell County","Mooresville",1662,1224.92,0.0152,0.0362,0.0429,15077
2019-10-31,"95825","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County","Arden-Arcade",1663,1682.49,0.0036,0.0177,0.0451,7110
2019-10-31,"92127","CA","San Diego-Carlsbad","San Diego County","San Diego",1664,2692.33,0.0047,0.0129,0.0342,16353
2019-10-31,"77498","TX","Houston-The Woodlands-Sugar Land","Fort Bend County","Sugar Land",1665,1654.88,0.0021,0.008,-0.0145,15229
2019-10-31,"87031","NM","Albuquerque","Valencia County","Los Lunas",1666,1103.61,0.0482,0.0596,0.0132,12515
2019-10-31,"33445","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County","Delray Beach",1667,1788.91,0.0181,0.0296,0.0221,17947
2019-10-31,"53221","WI","Milwaukee-Waukesha-West Allis","Milwaukee County","Milwaukee",1668,1069.33,0.0164,0.0231,0.0641,7537
2019-10-31,"55406","MN","Minneapolis-St. Paul-Bloomington","Hennepin County","Minneapolis",1669,1481.56,-0.015,-0.0145,-0.0125,12995
2019-10-31,"27292","NC","Winston-Salem","Davidson County","Lexington",1670,926.25,0.0243,0.0161,0.008,13567
2019-10-31,"78852","TX","Eagle Pass","Maverick County","Eagle Pass",1671,991.45,-0.0242,-0.0339,-0.1154,9384
2019-10-31,"49441","MI","Muskegon","Muskegon County","Norton Shores",1672,872.36,-0.0094,-0.002,0.0219,12038
2019-10-31,"19805","DE","Philadelphia-Camden-Wilmington","New Castle County","Wilmington",1673,1239.06,0.0263,0.0398,0.0136,13873
2019-10-31,"11435","NY","New York-Newark-Jersey City","Queens County","New York",1674,1992.83,0.0089,0.0029,-0.0208,14960
2019-10-31,"64055","MO","Kansas City","Jackson County","Independence",1675,947.7,0.0155,0.0219,-0.0201,13694
2019-10-31,"76513","TX","Killeen-Temple","Bell County","Belton",1676,1040.21,0.0012,0.0216,0.0351,11073
2019-10-31,"01420","MA","Worcester","Worcester County","Fitchburg",1677,1325.52,-0.0006,0.0019,0.0509,11417
2019-10-31,"48430","MI","Flint","Genesee County","Fenton",1678,1275.62,0.003,0.02,-0.0377,15482
2019-10-31,"28304","NC","Fayetteville","Cumberland County","Fayetteville",1679,849.63,0.0185,0.024,-0.016,14750
2019-10-31,"82001","WY","Cheyenne","Laramie County","Cheyenne",1680,1211.71,0.0197,0.0493,0.0578,13759
2019-10-31,"97303","OR","Salem","Marion County","Keizer",1681,1538.36,0.0228,0.032,0.0511,11278
2019-10-31,"21093","MD","Baltimore-Columbia-Towson","Baltimore County","Lutherville Timonium",1682,1826.59,0.0235,0.0362,-0.0146,13915
2019-10-31,"33881","FL","Lakeland-Winter Haven","Polk County","Winter Haven",1683,1099.11,0.0171,0.0304,0.0446,11651
2019-10-31,"30126","GA","Atlanta-Sandy Springs-Roswell","Cobb County","Mableton",1684,1281.67,0.0169,0.0253,0.0372,17039
2019-10-31,"40219","KY","Louisville/Jefferson County","Jefferson County","Louisville",1685,1047.92,0.015,0.0274,-0.0011,10772
2019-10-31,"28803","NC","Asheville","Buncombe County","Asheville",1686,1469.7,-0.0051,-0.011,-0.0062,12000
2019-10-31,"85286","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Chandler",1687,1613.83,0.0182,0.0384,0.0205,15425
2019-10-31,"53051","WI","Milwaukee-Waukesha-West Allis","Waukesha County","Menomonee Falls",1688,1630.17,0.0066,0.0026,-0.0176,12802
2019-10-31,"91765","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Diamond Bar",1689,2362.61,0.0239,0.0321,0.0419,16943
2019-10-31,"18017","PA","Allentown-Bethlehem-Easton","Northampton County","Bethlehem",1690,1407.48,0.0061,0.0134,-0.0078,13019
2019-10-31,"28411","NC","Wilmington","New Hanover County","Wilmington",1691,1558.68,0.0042,-0.0049,0.1163,16125
2019-10-31,"98058","WA","Seattle-Tacoma-Bellevue","King County","Renton",1692,1800.6,0.0026,0.0127,0.0109,14738
2019-10-31,"78412","TX","Corpus Christi","Nueces County","Corpus Christi",1693,1333.15,-0.0073,0.0021,0.0072,10515
2019-10-31,"85027","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",1694,1352.49,0.0132,0.0262,0.0562,13619
2019-10-31,"35216","AL","Birmingham-Hoover","Jefferson County","Vestavia Hills",1695,1337.85,0.0076,0.0154,0.046,10763
2019-10-31,"92544","CA","Riverside-San Bernardino-Ontario","Riverside County","Hemet",1696,1691.41,0.0164,0.0319,0.0633,12412
2019-10-31,"29203","SC","Columbia","Richland County","Columbia",1697,857.06,0.0175,0.033,-0.0501,13616
2019-10-31,"77901","TX","Victoria","Victoria County","Victoria",1698,1175.57,0.0064,0.0065,-0.0533,12296
2019-10-31,"22801","VA","Harrisonburg","Harrisonburg City","Harrisonburg",1699,1227.2,0.0039,0.0203,0.0078,10803
2019-10-31,"61820","IL","Champaign-Urbana","Champaign County","Champaign",1700,956.21,0.0168,0.0079,-0.037,4509
2019-10-31,"34761","FL","Orlando-Kissimmee-Sanford","Orange County","Ocoee",1701,1419.77,0.0051,0.0156,0.0311,15840
2019-10-31,"55110","MN","Minneapolis-St. Paul-Bloomington","Ramsey County","White Bear Lake",1702,1487.22,0.0008,0.0117,0.0315,14534
2019-10-31,"93711","CA","Fresno","Fresno County","Fresno",1703,1718.01,0.017,0.0305,0.0355,13266
2019-10-31,"98223","WA","Seattle-Tacoma-Bellevue","Snohomish County","Arlington",1704,1760.23,-0.02,-0.0196,0.0171,14317
2019-10-31,"19401","PA","Philadelphia-Camden-Wilmington","Montgomery County","Norristown",1705,1464.36,0.0077,0.0214,0.0426,13306
2019-10-31,"46368","IN","Chicago-Naperville-Elgin","Porter County","Portage",1706,1102.3,0.0008,0.0457,-0.0178,11825
2019-10-31,"94521","CA","San Francisco-Oakland-Hayward","Contra Costa County","Concord",1707,2864.99,0.0003,0.0099,0.0276,29367
2019-10-31,"32724","FL","Deltona-Daytona Beach-Ormond Beach","Volusia County","Deland",1708,1260.78,0.0006,0.0076,0.0154,13807
2019-10-31,"32714","FL","Orlando-Kissimmee-Sanford","Seminole County","Altamonte Springs",1709,1301.68,0.0041,0.0075,0.0004,15314
2019-10-31,"10977","NY","New York-Newark-Jersey City","Rockland County","Ramapo",1710,2398.06,0.0112,0.0283,0.0652,11105
2019-10-31,"15221","PA","Pittsburgh","Allegheny County","Wilkinsburg",1711,970.94,-0.0079,-0.0037,0.0001,12054
2019-10-31,"60188","IL","Chicago-Naperville-Elgin","DuPage County","Carol Stream",1712,1593.76,0.0073,0.0127,0.0004,11805
2019-10-31,"27295","NC","Winston-Salem","Davidson County","Lexington",1713,925.13,0.0129,0.0011,-0.0152,12481
2019-10-31,"97477","OR","Eugene","Lane County","Springfield",1714,1283.27,0.0085,0.023,0.0329,10875
2019-10-31,"28273","NC","Charlotte-Concord-Gastonia","Mecklenburg County","Charlotte",1715,1353.25,0.0027,-0.0101,0.0047,13727
2019-10-31,"01085","MA","Springfield","Hampden County","Westfield",1716,1230.73,-0.0195,-0.0173,0.0071,12430
2019-10-31,"17042","PA","Lebanon","Lebanon County","Lebanon",1717,1078.31,0.0263,0.0494,0.0543,14104
2019-10-31,"85716","AZ","Tucson","Pima County","Tucson",1718,1198.09,0.0133,0.0209,0.0526,11399
2019-10-31,"33610","FL","Tampa-St. Petersburg-Clearwater","Hillsborough County","Tampa",1719,1225.51,0.0166,0.023,0.032,11796
2019-10-31,"98036","WA","Seattle-Tacoma-Bellevue","Snohomish County","Lynnwood",1720,2045.77,0.0015,0.0061,0.0178,12795
2019-10-31,"43065","OH","Columbus","Delaware County","Powell",1721,1742.75,0.0002,-0.0042,-0.0029,16458
